Dataset	Domain	Score	Sent1	Sent2
STS2012-gold	surprise.OnWN	5.000	render one language in another language	restate (words) from one language into another language.
STS2012-gold	surprise.OnWN	3.250	nations unified by shared interests, history or institutions	a group of nations having common interests.
STS2012-gold	surprise.OnWN	3.250	convert into absorbable substances, (as if) with heat or chemical process	soften or disintegrate by means of chemical action, heat, or moisture.
STS2012-gold	surprise.OnWN	4.000	devote or adapt exclusively to an skill, study, or work	devote oneself to a special area of work.
STS2012-gold	surprise.OnWN	3.250	elevated wooden porch of a house	a porch that resembles the deck on a ship.
STS2012-gold	surprise.OnWN	4.000	either half of an archery bow	either of the two halves of a bow from handle to tip.
STS2012-gold	surprise.OnWN	3.333	a removable device that is an accessory to larger object	a supplementary part or accessory.
STS2012-gold	surprise.OnWN	4.750	restrict or confine	place limits on (extent or access).
STS2012-gold	surprise.OnWN	0.500	orient, be positioned	be opposite.
STS2012-gold	surprise.OnWN	4.750	Bring back to life, return from the dead	cause to become alive again.
STS2012-gold	surprise.OnWN	3.750	anything illusory, not concrete or real	something with no concrete substance.
STS2012-gold	surprise.OnWN	4.000	a name or trait that identifies a product or type of thing	a name given to a product or service.
STS2012-gold	surprise.OnWN	1.500	the processing or operation of something	a set sequence of steps, part of larger computer program.
STS2012-gold	surprise.OnWN	2.500	line, cover	cover the front or surface of.
STS2012-gold	surprise.OnWN	4.250	determine a standard; estimate a capacity or measurement	estimate the value of.
STS2012-gold	surprise.OnWN	3.500	an interpretation, an account or reading of an event or situation	a mental representation of the meaning or significance of something.
STS2012-gold	surprise.OnWN	4.250	festive social event, celebration	an occasion on which people can assemble for social interaction and entertainment.
STS2012-gold	surprise.OnWN	5.000	Make fine adjustments to for optimal operation; adjust to a certain scale.	make fine adjustments or divide into marked intervals for optimal measuring.
STS2012-gold	surprise.OnWN	3.750	a short lyric or poem intended to be sung	a narrative song with a recurrent refrain.
STS2012-gold	surprise.OnWN	2.750	effectively wield or manipulate a concrete entity	handle effectively.
STS2012-gold	surprise.OnWN	3.500	employ or become employed in a position	appoint someone to (a position or a job).
STS2012-gold	surprise.OnWN	3.500	group of people defined by a specific profession	organization of performers and associated personnel (especially theatrical).
STS2012-gold	surprise.OnWN	3.500	storage cabinet furniture	office furniture consisting of a container for keeping papers in order.
STS2012-gold	surprise.OnWN	4.250	Signal (approval or interest) by winking; briefly shut one eye.	signal by winking.
STS2012-gold	surprise.OnWN	2.750	capital stock in a corporation	any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate.
STS2012-gold	surprise.OnWN	2.250	prove or corroborate	establish or strengthen as with new evidence or facts.
STS2012-gold	surprise.OnWN	3.750	(the content of) a communication.	a communication (usually brief) that is written or spoken or signaled.
STS2012-gold	surprise.OnWN	3.000	a partial denture	a denture anchored to teeth on either side of missing teeth.
STS2012-gold	surprise.OnWN	2.750	move to a lower position, terminate something	terminate an association with.
STS2012-gold	surprise.OnWN	2.500	flow, as of liquids	reduce or cause to be reduced from a solid to a liquid state, usually by heating.
STS2012-gold	surprise.OnWN	2.250	seal, insulate or protect	treat the body or any part of it by wrapping it, as with blankets or sheets, and applying compresses to it, or stuffing it to provide cover, containment, or therapy, or to absorb blood.
STS2012-gold	surprise.OnWN	2.500	scar physically; create a mark on someone or something	make underscoring marks.
STS2012-gold	surprise.OnWN	3.500	Surround completely; close in, as if with a covering or border.	surround completely.
STS2012-gold	surprise.OnWN	1.250	the act or event of ending a process, state, situation	the end of a word (a suffix or inflectional ending or final morpheme).
STS2012-gold	surprise.OnWN	0.000	the price of a good or service	an assertion that someone is guilty of a fault or offence.
STS2012-gold	surprise.OnWN	2.000	depict or portray in art, words, or model	create an image or likeness of.
STS2012-gold	surprise.OnWN	0.750	travel in or be shaped like a zigzag	bend into the shape of a crank.
STS2012-gold	surprise.OnWN	4.250	Annoy, harass, or mock, perhaps playfully.	mock or make fun of playfully.
STS2012-gold	surprise.OnWN	0.000	(Cause to) smell bad.	be extremely bad in quality or in one's performance.
STS2012-gold	surprise.OnWN	4.000	social ranking or position	the relative position or standing of things or especially persons in a society.
STS2012-gold	surprise.OnWN	3.250	ponder, consider, observe carefully	consider in detail and subject to an analysis in order to discover essential features or meaning.
STS2012-gold	surprise.OnWN	4.333	persuade or achieve acceptance	persuade somebody to accept something.
STS2012-gold	surprise.OnWN	5.000	physical matter left behind after a removal process	matter that remains after something has been removed.
STS2012-gold	surprise.OnWN	3.500	any tall, vertical shape	anything that approximates the shape of a column or tower.
STS2012-gold	surprise.OnWN	4.750	physically inflate	become inflated.
STS2012-gold	surprise.OnWN	3.000	heavy radioactive metallic element, atomic number 92	a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons.
STS2012-gold	surprise.OnWN	3.000	Complain about something or say mean things to someone.	say mean things.
STS2012-gold	surprise.OnWN	3.750	care about, be bothered by, be concerned by	be offended or bothered by; take offense with, be bothered by.
STS2012-gold	surprise.OnWN	2.750	the tallied points of a game, at a given time	a number that expresses the accomplishment of a team or an individual in a game or contest.
STS2012-gold	surprise.OnWN	2.250	edit so as to block the truth; prevent distribution	subject to political, religious, or moral censorship.
STS2012-gold	surprise.OnWN	2.500	a casual, brief meeting with someone	a casual or unexpected convergence.
STS2012-gold	surprise.OnWN	4.250	an electrical connection between conductor and earth	a connection between an electrical device and a large conducting body, such as the earth (which is taken to be at zero voltage).
STS2012-gold	surprise.OnWN	4.000	an agent's act of terminating an activity or event	the act of ending something.
STS2012-gold	surprise.OnWN	4.500	notable or famous persons (real or fictional)	a well-known or notable person.
STS2012-gold	surprise.OnWN	3.750	a person who manipulate or controls a device or machine	an agent that operates some apparatus or machine.
STS2012-gold	surprise.OnWN	3.250	find, determine the place of	determine or indicate the place, site, or limits of, as if by an instrument or by a survey.
STS2012-gold	surprise.OnWN	4.250	to engage in plotting or activities of an illegal or deceitful nature	act in unison or agreement and in secret towards a deceitful or illegal purpose.
STS2012-gold	surprise.OnWN	3.750	be equivalent, have the same effect as something	be tantamount or equivalent to.
STS2012-gold	surprise.OnWN	1.000	(cause to) survive	cause to move by pulling.
STS2012-gold	surprise.OnWN	1.000	the money	a voluntary gift (as of money or service or ideas) made to some worthwhile cause.
STS2012-gold	surprise.OnWN	3.750	a sudden emotional vocalization	a loud utterance of emotion (especially when inarticulate).
STS2012-gold	surprise.OnWN	4.000	go back, restore, revive	go back to a previous state.
STS2012-gold	surprise.OnWN	2.750	settlement of people distant from their homeland	a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government.
STS2012-gold	surprise.OnWN	3.750	(The discovery or exhibition of) factual evidence that establishes the truth of something.	a formal series of statements showing that if one thing is true something else necessarily follows from it.
STS2012-gold	surprise.OnWN	1.500	enter a realm, become involved with	cause to move; cause to be in a certain position or condition.
STS2012-gold	surprise.OnWN	3.250	a project or undertaking	earnest and conscientious activity intended to do or accomplish something.
STS2012-gold	surprise.OnWN	4.000	a standardized system of measurements for heaviness	a system of units used to express the weight of something.
STS2012-gold	surprise.OnWN	4.500	a concern or affair	some situation or event that is thought about.
STS2012-gold	surprise.OnWN	2.000	have a strong sexual attraction to	feel or have a desire for; want strongly.
STS2012-gold	surprise.OnWN	1.500	a surrogate expression, utterance for a taboo word	a blank character used to separate successive words in writing or printing.
STS2012-gold	surprise.OnWN	4.000	facility for secure storage of things, often money	a facility where things can be deposited for storage or safekeeping.
STS2012-gold	surprise.OnWN	3.750	emit or cause to emit noise	make a certain noise or sound.
STS2012-gold	surprise.OnWN	2.333	make physical contact with, possibly with the effect of physically manipulating.	cause to be in brief contact with.
STS2012-gold	surprise.OnWN	2.500	find out or be informed of a new information, understand or realize	get to know or become aware of, usually accidentally.
STS2012-gold	surprise.OnWN	4.500	head of a country	the chief executive of a republic.
STS2012-gold	surprise.OnWN	3.000	Touch with the lips.	touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc..
STS2012-gold	surprise.OnWN	2.750	a natural physical force of drawing towards something	the force used in pulling.
STS2012-gold	surprise.OnWN	3.000	a change which is a decrease	a gradual decrease; as of stored charge or current.
STS2012-gold	surprise.OnWN	3.000	an evaluation, an estimation of worth, a grade	a number or letter indicating quality (especially of a student's performance).
STS2012-gold	surprise.OnWN	1.750	having responsibility for managing or supervising	an impetuous rush toward someone or something.
STS2012-gold	surprise.OnWN	4.000	fail or suffer failure	suffer failure, as in some enterprise.
STS2012-gold	surprise.OnWN	4.000	an abundance of something	the property of copious abundance.
STS2012-gold	surprise.OnWN	3.750	An authoritative text or the corresponding citation.	a short note recognizing a source of information or of a quoted passage.
STS2012-gold	surprise.OnWN	0.500	An instance of visual perception.	(often followed by `of') a large number or amount or extent.
STS2012-gold	surprise.OnWN	2.500	fluctuate, move back and forth	sway to and fro.
STS2012-gold	surprise.OnWN	1.500	the alleviation of distress	a change for the better.
STS2012-gold	surprise.OnWN	2.800	A ceremony marking admission into a religious community.	a sacrament admitting a baptized person to full participation in the church.
STS2012-gold	surprise.OnWN	3.400	a social gesture of deferential greeting	a courteous expression (by word or deed) of esteem or regard.
STS2012-gold	surprise.OnWN	0.000	move to a new location, state, or situation	cause (a computer) to execute a single command.
STS2012-gold	surprise.OnWN	1.600	Change one for another	give to, and receive from, one another.
STS2012-gold	surprise.OnWN	4.000	a full stop, as a punctuation mark	a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations.
STS2012-gold	surprise.OnWN	3.250	something that is craved	something craved, especially an intravenous injection of a narcotic drug.
STS2012-gold	surprise.OnWN	3.500	to grow rapidly	increase rapidly and in an uncontrolled manner.
STS2012-gold	surprise.OnWN	3.500	Speak in a high-pitched tone of voice, as either an animal or human might.	make high-pitched sounds.
STS2012-gold	surprise.OnWN	2.500	domesticated animals kept for use or profit	a special variety of domesticated animals within a species.
STS2012-gold	surprise.OnWN	2.250	a discipline, a branch of knowledge	the discipline that records and interprets past events involving human beings.
STS2012-gold	surprise.OnWN	3.333	a person who is aggressively pursued, chased	a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence.
STS2012-gold	surprise.OnWN	2.250	personnel casualty	military personnel lost by death or capture.
STS2012-gold	surprise.OnWN	3.250	escape or avoid a situation or responsibility	use cunning or deceit to escape or avoid.